scenario_id,family,label,changed_parameters,research_question,grid.width,grid.height,population.num_citizens,population.age_brackets,population.age_bracket_weights,population.initial_infected_count,disease.beta,disease.gamma,disease.incubation_period,disease.mortality_base,disease.age_mortality_modifier,disease.immunity_duration,hospital.capacity,hospital.recovery_bonus,hospital.area_radius,hospital.positions,vaccination_point.effectiveness,vaccination_point.positions,behavior.avoidance_fraction,behavior.age_mobility_threshold,behavior.elderly_move_probability,behavior.hospital_seek_radius,quarantine.threshold,quarantine.zone_radius,num_steps,seed
baseline,reference,Baseline,None (default configuration),What epidemic course is produced by the default model?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,100,5,1000,42
transmission_low,transmission,Lower transmission,disease.beta=0.15,How does lower transmission probability change the epidemic?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.15,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,100,5,1000,42
transmission_high,transmission,Higher transmission,disease.beta=0.50,How does higher transmission probability change the epidemic?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.5,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,100,5,1000,42
vaccination_none,vaccination,No vaccination points,vaccination_point.positions=[]; effectiveness=0.0,How much does access to vaccination limit infections?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.0,[],0.3,60,0.4,15,100,5,1000,42
vaccination_dense,vaccination,Expanded vaccination programme,vaccination_point.positions=17 distributed points; effectiveness=0.90,Can wide access to a highly effective vaccine suppress spread?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.9,"[[5,5],[5,15],[5,25],[5,35],[5,45],[15,10],[15,30],[25,5],[25,25],[25,45],[35,10],[35,30],[45,5],[45,15],[45,25],[45,35],[45,45]]",0.3,60,0.4,15,100,5,1000,42
hospital_none,hospital,No hospital support,hospital.positions=[]; recovery_bonus=0.0,How does hospital support affect outcomes of infected agents?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.0,3,[],0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,100,5,1000,42
hospital_expanded,hospital,Expanded hospital coverage,"hospital.positions=[(12,12),(25,25),(38,38)]; area_radius=4; capacity=100; recovery_bonus=0.10",Does increased treatment coverage improve recovery and mortality outcomes?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,100,0.1,4,"[[12,12],[25,25],[38,38]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,100,5,1000,42
avoidance_none,behavior,No avoidance behavior,behavior.avoidance_fraction=0.0,Does voluntary avoidance of infected neighbors slow spread?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.0,60,0.4,15,100,5,1000,42
avoidance_high,behavior,High avoidance behavior,behavior.avoidance_fraction=0.80,What happens when most citizens avoid infected neighbors?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.8,60,0.4,15,100,5,1000,42
quarantine_disabled,quarantine,Quarantine disabled,quarantine.threshold=501,Does an early movement restriction influence epidemic spread?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,501,5,1000,42
quarantine_early,quarantine,Early quarantine activation,quarantine.threshold=20; zone_radius=5,Does an early movement restriction influence epidemic spread?,50,50,500,"[[0,17],[18,44],[45,64],[65,100]]","[0.18,0.37,0.26,0.19]",5,0.3,0.05,5,0.01,0.001,0,50,0.05,3,"[[25,25]]",0.7,"[[10,10],[40,40]]",0.3,60,0.4,15,20,5,1000,42
